QueryName,QueryType,ResponseCode,SourceIP,Count
ssm.us-east-1.amazonaws.com.,A,NOERROR,10.0.1.101,64
ssm.us-east-1.amazonaws.com.,AAAA,NOERROR,10.0.1.101,60
ip-10-0-1-101.ec2.internal.,A,NOERROR,10.0.1.101,39
ip-10-0-1-101.ec2.internal.,AAAA,NOERROR,10.0.1.101,37
github.com.,AAAA,NOERROR,10.0.1.111,20
github.com.ec2.internal.,AAAA,NXDOMAIN,10.0.1.111,18
github.com.ec2.internal.,A,NXDOMAIN,10.0.1.111,18
github.com.,A,NOERROR,10.0.1.111,17
github.com.,A,NOERROR,10.0.1.98,13
github.com.ec2.internal.,AAAA,NXDOMAIN,10.0.1.98,12
github.com.ec2.internal.,A,NXDOMAIN,10.0.1.98,11
github.com.,AAAA,NOERROR,10.0.1.98,10
ssm.us-east-1.amazonaws.com.,AAAA,NOERROR,10.0.1.12,10
ssm.us-east-1.amazonaws.com.,A,NOERROR,10.0.1.12,9
ssm.us-east-1.amazonaws.com.,AAAA,NOERROR,10.0.1.37,8
ssm.us-east-1.amazonaws.com.,A,NOERROR,10.0.2.86,8
602401143452.dkr.ecr.us-east-1.amazonaws.com.,A,NOERROR,10.0.2.124,7
602401143452.dkr.ecr.us-east-1.amazonaws.com.,A,NOERROR,10.0.2.224,7
ec2.us-east-1.amazonaws.com.,AAAA,NOERROR,10.0.2.224,7
ip-10-0-1-12.ec2.internal.,AAAA,NOERROR,10.0.1.12,7
ip-10-0-1-12.ec2.internal.,A,NOERROR,10.0.1.12,7
prod-us-east-1-starport-layer-bucket.s3.us-east-1.amazonaws.com.,A,NOERROR,10.0.2.42,7
prod-us-east-1-starport-layer-bucket.s3.us-east-1.amazonaws.com.,A,NOERROR,10.0.1.144,7
ssm.us-east-1.amazonaws.com.,A,NOERROR,10.0.1.37,7
ssm.us-east-1.amazonaws.com.,AAAA,NOERROR,10.0.2.86,7
ssm.us-east-1.amazonaws.com.,A,NOERROR,10.0.1.144,7
ssm.us-east-1.amazonaws.com.,AAAA,NOERROR,10.0.1.144,7
ssm.us-east-1.amazonaws.com.,AAAA,NOERROR,10.0.2.224,7
ssm.us-east-1.amazonaws.com.,A,NOERROR,10.0.2.224,7
602401143452.dkr.ecr.us-east-1.amazonaws.com.,AAAA,NOERROR,10.0.2.124,6
602401143452.dkr.ecr.us-east-1.amazonaws.com.,AAAA,NOERROR,10.0.1.144,6
602401143452.dkr.ecr.us-east-1.amazonaws.com.,A,NOERROR,10.0.1.144,6
ec2.us-east-1.amazonaws.com.,A,NOERROR,10.0.2.224,6
ec2.us-east-1.amazonaws.com.,A,NOERROR,10.0.1.144,6
ec2.us-east-1.amazonaws.com.,AAAA,NOERROR,10.0.1.144,6
metadata.google.internal.,AAAA,NXDOMAIN,10.0.1.111,6
metadata.google.internal.,A,NXDOMAIN,10.0.1.111,6
602401143452.dkr.ecr.us-east-1.amazonaws.com.,AAAA,NOERROR,10.0.1.91,5
602401143452.dkr.ecr.us-east-1.amazonaws.com.,A,NOERROR,10.0.1.91,5
602401143452.dkr.ecr.us-east-1.amazonaws.com.,AAAA,NOERROR,10.0.2.42,5
602401143452.dkr.ecr.us-east-1.amazonaws.com.,AAAA,NOERROR,10.0.1.37,5
602401143452.dkr.ecr.us-east-1.amazonaws.com.,A,NOERROR,10.0.1.37,5
al2023-repos-us-east-1-de612dc2.s3.dualstack.us-east-1.amazonaws.com.,AAAA,NOERROR,10.0.1.12,5
ec2.us-east-1.amazonaws.com.,AAAA,NOERROR,10.0.1.91,5
ec2.us-east-1.amazonaws.com.,AAAA,NOERROR,10.0.2.42,5
ec2.us-east-1.amazonaws.com.,A,NOERROR,10.0.2.86,5
ec2.us-east-1.amazonaws.com.,AAAA,NOERROR,10.0.2.86,5
ec2.us-east-1.amazonaws.com.,AAAA,NOERROR,10.0.1.37,5
ec2.us-east-1.amazonaws.com.,A,NOERROR,10.0.1.37,5
prod-us-east-1-starport-layer-bucket.s3.us-east-1.amazonaws.com.,A,NOERROR,10.0.1.91,5
prod-us-east-1-starport-layer-bucket.s3.us-east-1.amazonaws.com.,A,NOERROR,10.0.2.124,5
prod-us-east-1-starport-layer-bucket.s3.us-east-1.amazonaws.com.,A,NOERROR,10.0.1.37,5
602401143452.dkr.ecr.us-east-1.amazonaws.com.,AAAA,NOERROR,10.0.1.6,4
602401143452.dkr.ecr.us-east-1.amazonaws.com.,A,NOERROR,10.0.1.6,4
602401143452.dkr.ecr.us-east-1.amazonaws.com.,A,NOERROR,10.0.2.86,4
602401143452.dkr.ecr.us-east-1.amazonaws.com.,AAAA,NOERROR,10.0.2.224,4
al2023-repos-us-east-1-de612dc2.s3.dualstack.us-east-1.amazonaws.com.,A,NOERROR,10.0.1.12,4
al2023-repos-us-east-1-de612dc2.s3.dualstack.us-east-1.amazonaws.com.,A,NOERROR,10.0.1.101,4
ec2.us-east-1.amazonaws.com.,A,NOERROR,10.0.1.91,4
ec2.us-east-1.amazonaws.com.,A,NOERROR,10.0.2.42,4
ec2.us-east-1.amazonaws.com.,AAAA,NOERROR,10.0.2.124,4
metadata.google.internal.,A,NXDOMAIN,10.0.1.98,4
metadata.google.internal.,AAAA,NXDOMAIN,10.0.1.98,4
prod-us-east-1-starport-layer-bucket.s3.us-east-1.amazonaws.com.,A,NOERROR,10.0.1.6,4
prod-us-east-1-starport-layer-bucket.s3.us-east-1.amazonaws.com.,A,NOERROR,10.0.2.86,4
prod-us-east-1-starport-layer-bucket.s3.us-east-1.amazonaws.com.,A,NOERROR,10.0.2.224,4
quay.io.,AAAA,NOERROR,10.0.2.224,4
602401143452.dkr.ecr.us-east-1.amazonaws.com.,A,NOERROR,10.0.2.42,3
602401143452.dkr.ecr.us-east-1.amazonaws.com.,AAAA,NOERROR,10.0.2.86,3
al2023-repos-us-east-1-de612dc2.s3.dualstack.us-east-1.amazonaws.com.,AAAA,NOERROR,10.0.1.101,3
api.cloudflare.com.,A,NOERROR,10.0.1.111,3
api.cloudflare.com.ec2.internal.,AAAA,NXDOMAIN,10.0.1.98,3
api.cloudflare.com.ec2.internal.,A,NXDOMAIN,10.0.1.98,3
auth.docker.io.,AAAA,NOERROR,10.0.2.224,3
docker-images-prod.s3.dualstack.us-east-1.amazonaws.com.,AAAA,NOERROR,10.0.2.224,3
docker-images-prod.s3.dualstack.us-east-1.amazonaws.com.,A,NOERROR,10.0.2.224,3
docker-images-prod.s3.dualstack.us-east-1.amazonaws.com.,AAAA,NOERROR,10.0.1.144,3
docker-images-prod.s3.dualstack.us-east-1.amazonaws.com.,A,NOERROR,10.0.1.144,3
ec2.us-east-1.amazonaws.com.,A,NOERROR,10.0.2.124,3
ec2.us-east-1.amazonaws.com.,AAAA,NOERROR,10.0.1.6,3
ec2.us-east-1.amazonaws.com.,A,NOERROR,10.0.1.6,3
metadata.google.internal.,AAAA,NXDOMAIN,10.0.2.163,3
quay.io.,A,NOERROR,10.0.2.224,3
registry-1.docker.io.,AAAA,NOERROR,10.0.2.224,3
A63831F3D5A9244C31D2925173313C5D.gr7.us-east-1.eks.amazonaws.com.,A,NOERROR,10.0.2.42,2
A63831F3D5A9244C31D2925173313C5D.gr7.us-east-1.eks.amazonaws.com.,A,NOERROR,10.0.2.124,2
A63831F3D5A9244C31D2925173313C5D.gr7.us-east-1.eks.amazonaws.com.,A,NOERROR,10.0.1.6,2
E0803ED48FA32943C06BF558FF947C04.gr7.us-east-1.eks.amazonaws.com.,A,NOERROR,10.0.2.86,2
E0803ED48FA32943C06BF558FF947C04.gr7.us-east-1.eks.amazonaws.com.,A,NOERROR,10.0.1.144,2
E0803ED48FA32943C06BF558FF947C04.gr7.us-east-1.eks.amazonaws.com.,A,NOERROR,10.0.2.224,2
E0803ED48FA32943C06BF558FF947C04.gr7.us-east-1.eks.amazonaws.com.,A,NOERROR,10.0.1.37,2
_acme-challenge.egress.drewpy.pro.,CNAME,NXDOMAIN,10.0.1.98,2
acme-v02.api.letsencrypt.org.,A,NOERROR,10.0.1.98,2
al2023-repos-us-east-1-de612dc2.s3.dualstack.us-east-1.amazonaws.com.,A,NOERROR,10.0.2.224,2
api.cloudflare.com.,AAAA,NOERROR,10.0.1.98,2
api.cloudflare.com.,AAAA,NOERROR,10.0.1.111,2
auth.docker.io.,A,NOERROR,10.0.2.224,2
auth.docker.io.,AAAA,NOERROR,10.0.1.144,2
auth.docker.io.,A,NOERROR,10.0.1.144,2
docker-images-prod.s3.dualstack.us-east-1.amazonaws.com.,AAAA,NOERROR,10.0.2.124,2
docker-images-prod.s3.dualstack.us-east-1.amazonaws.com.,A,NOERROR,10.0.2.124,2
drewpy.pro.,NS,NOERROR,10.0.1.111,2
ec2messages.us-east-1.amazonaws.com.,A,NOERROR,10.0.1.12,2
ec2messages.us-east-1.amazonaws.com.,AAAA,NOERROR,10.0.1.12,2
ec2messages.us-east-1.amazonaws.com.,A,NOERROR,10.0.1.101,2
